genero,casado,edad,graduado,profesion,experiencia_laboral,nivel_gasto,dependientes
Masculino,No,22,No,Sanidad,1,bajo,4
Femenino,Si,67,Si,Ingenieria,1,bajo,1
Masculino,Si,67,Si,Abogado,0,alto,2
Masculino,Si,56,No,Artista,0,medio,2
Masculino,No,32,Si,Sanidad,1,bajo,3
Femenino,No,33,Si,Sanidad,1,bajo,3
Femenino,Si,61,Si,Ingenieria,0,bajo,3
Femenino,Si,55,Si,Artista,1,medio,4
Femenino,No,26,Si,Ingenieria,1,bajo,3
Masculino,No,19,No,Sanidad,4,bajo,4
Femenino,No,19,No,Ejecutivo,0,bajo,0
Femenino,Si,58,No,Doctor,0,bajo,1
Femenino,No,41,No,Sanidad,1,bajo,2
Femenino,No,32,No,Domestico,9,bajo,5
Masculino,No,31,No,Sanidad,1,bajo,6
Masculino,Si,58,Si,Espectaculo,1,medio,4
Femenino,Si,79,Si,Artista,0,alto,1
Masculino,Si,49,Si,Domestico,12,bajo,1
Femenino,No,18,No,Sanidad,3,bajo,4
Masculino,Si,33,Si,Artista,13,bajo,2
Femenino,No,36,Si,Artista,5,bajo,2
Femenino,No,58,No,Ejecutivo,1,medio,3
Masculino,Si,56,No,Artista,1,medio,3
Masculino,No,31,No,Sanidad,9,bajo,8
Masculino,Si,49,Si,Artista,1,medio,3
Masculino,No,35,Si,Artista,0,bajo,1
Femenino,No,35,No,Artista,5,bajo,4
Femenino,Si,45,Si,Artista,0,bajo,3
Femenino,Si,42,No,Doctor,1,bajo,2
Masculino,No,19,No,Sanidad,1,bajo,3
Masculino,No,26,No,Domestico,9,bajo,0
Femenino,Si,83,No,Abogado,1,alto,2
Femenino,No,27,Si,Sanidad,3,bajo,4
Masculino,No,32,No,Doctor,5,bajo,1
Femenino,Si,28,No,Sanidad,1,medio,5
Femenino,Si,28,Si,Artista,8,bajo,2
Femenino,No,47,Si,Artista,4,bajo,1
Femenino,No,22,No,Sanidad,0,bajo,2
Femenino,No,27,Si,Artista,14,bajo,3
Femenino,Si,49,Si,Artista,1,bajo,2
Masculino,Si,40,No,Ingenieria,8,bajo,1
Masculino,Si,41,Si,Artista,0,medio,4
Masculino,No,19,No,Sanidad,0,bajo,4
Femenino,No,45,Si,Ingenieria,1,bajo,1
Femenino,Si,61,No,Artista,1,medio,2
Femenino,Si,36,Si,Artista,1,medio,2
Masculino,Si,40,Si,Artista,1,bajo,1
Femenino,Si,57,Si,Espectaculo,0,medio,2
Masculino,Si,76,No,Marketing,1,bajo,1
Masculino,Si,32,Si,Artista,14,medio,2
Masculino,No,25,Si,Sanidad,9,bajo,4
Masculino,No,32,Si,Doctor,8,bajo,2
Femenino,Si,45,Si,Artista,1,medio,3
Masculino,Si,72,Si,Abogado,1,bajo,0
Masculino,Si,48,Si,Artista,0,medio,2
Masculino,Si,55,Si,Artista,9,medio,2
Masculino,Si,74,Si,Abogado,0,alto,3
Masculino,Si,56,Si,Abogado,1,alto,2
Masculino,Si,59,Si,Abogado,7,alto,2
Masculino,No,25,Si,Espectaculo,0,bajo,2
Masculino,Si,31,Si,Doctor,0,medio,2
Masculino,No,27,No,Artista,8,bajo,4
Masculino,Si,57,Si,Artista,0,medio,4
Masculino,Si,27,Si,Sanidad,8,bajo,2
Femenino,Si,51,Si,Espectaculo,8,medio,2
Femenino,Si,47,No,Artista,0,medio,5
Femenino,No,33,No,Sanidad,8,bajo,4
Masculino,Si,56,Si,Artista,0,medio,4
Femenino,No,33,No,Domestico,0,bajo,3
Femenino,No,36,Si,Doctor,0,bajo,2
Masculino,Si,51,No,Artista,4,bajo,3
Masculino,Si,45,Si,Ingenieria,2,medio,2
Femenino,No,49,Si,Otro,1,bajo,1
Masculino,No,30,No,Sanidad,0,bajo,4
Femenino,No,26,No,Sanidad,6,bajo,3
Masculino,Si,63,Si,Artista,8,bajo,1
Masculino,Si,35,No,Espectaculo,8,medio,4
Femenino,No,19,No,Marketing,1,bajo,3
Masculino,No,32,No,Sanidad,7,bajo,5
Masculino,Si,52,Si,Artista,0,medio,3
Femenino,Si,36,Si,Artista,5,bajo,2
Femenino,No,42,No,Espectaculo,7,bajo,3
Masculino,Si,40,No,Doctor,0,medio,2
Masculino,No,39,Si,Espectaculo,0,bajo,3
Femenino,Si,47,Si,Artista,1,medio,4
Femenino,Si,61,Si,Artista,1,alto,2
Masculino,Si,32,No,Espectaculo,1,bajo,2
Masculino,Si,55,No,Artista,0,bajo,1
Femenino,No,38,Si,Artista,0,bajo,1
Masculino,Si,63,Si,Artista,0,alto,2
Masculino,Si,58,Si,Doctor,1,medio,2
Masculino,Si,30,No,Ingenieria,3,medio,3
Masculino,Si,60,Si,Artista,0,medio,4
Masculino,Si,68,No,Ejecutivo,1,alto,7
Masculino,Si,52,No,Artista,0,bajo,3
Masculino,Si,38,No,Ejecutivo,0,alto,5
