,year,odometer,numtype,numdrive,numcylinders,nummodel,price
0,2004,88000.0,5,0,2,28,19900
1,2002,15996.0,1,1,2,53,21250
2,2019,8176.0,5,2,1,27,24888
3,2008,283356.0,5,2,2,28,11500
4,2008,103550.0,0,1,0,21,6900
5,2019,8176.0,5,2,1,27,24888
6,2014,219581.0,7,1,0,57,9500
7,2014,45026.0,7,1,0,57,17200
8,2017,108482.0,7,2,1,49,23900
9,2017,113617.0,7,2,1,49,22300
10,2019,8176.0,5,2,1,27,26900
11,2003,149055.0,5,0,2,27,2595
12,2010,32988.0,7,2,2,18,18990
13,2014,35173.0,7,1,0,57,16900
14,2014,219581.0,7,1,0,57,9500
15,2002,240000.0,7,2,2,29,6950
16,2018,101000.0,0,1,1,19,17990
17,2012,160000.0,0,1,0,21,5800
18,2008,115000.0,6,1,1,36,5500
19,2017,141625.0,7,2,1,49,20300
20,2014,219581.0,7,1,0,57,9500
21,2010,177000.0,7,2,2,12,9950
22,2008,115000.0,6,2,1,36,5500
23,2002,15996.0,1,1,2,53,21250
24,2002,15996.0,1,1,2,53,21250
25,2004,193049.0,6,1,1,52,2950
26,2005,165000.0,6,1,1,52,2000
27,2002,280000.0,5,2,1,26,1800
28,2013,150000.0,6,1,0,40,7000
29,2002,15962.0,1,1,2,53,21250
30,2013,83000.0,7,2,2,18,16350
31,2013,51500.0,0,1,0,21,16500
32,2013,87000.0,0,0,1,26,15990
33,2016,98000.0,0,0,1,26,25500
34,2013,111000.0,0,0,0,21,9990
35,2002,15962.0,1,1,2,53,21250
36,2006,243000.0,0,0,2,24,4500
37,2011,126000.0,0,0,0,21,7000
38,2008,150000.0,2,2,2,44,5500
39,2002,15962.0,1,1,2,53,21250
40,2012,151000.0,6,1,0,36,6900
41,2013,109004.0,0,1,0,21,10495
42,2014,44000.0,6,1,0,34,8700
43,2003,230000.0,5,0,1,19,6900
44,2011,158371.0,0,2,2,24,10900
45,2004,131000.0,1,2,2,53,15000
46,2014,219581.0,7,1,0,57,9500
47,2014,45026.0,7,1,0,57,17200
48,2017,108482.0,7,2,1,49,23900
49,2017,113617.0,7,2,1,49,22300
50,2003,247500.0,5,0,1,19,6900
51,2009,260000.0,6,1,0,36,3300
52,2012,90468.0,6,1,0,40,8995
53,2014,219581.0,7,1,0,57,9500
54,2014,35173.0,7,1,0,57,16900
55,2016,92000.0,7,2,1,77,18500
56,2014,219581.0,7,1,0,57,9500
57,2017,141625.0,7,2,1,49,20300
58,2001,225000.0,5,2,1,26,2800
59,2010,177000.0,7,2,2,12,9950
60,2002,190500.0,3,1,0,36,4500
61,2017,139449.0,0,2,1,24,19890
62,2014,124725.0,0,1,0,21,9980
63,2005,205500.0,0,2,2,24,5299
64,2016,125929.0,7,1,0,71,14590
65,2017,33896.0,6,1,0,40,17695
66,2014,145635.0,4,1,1,34,9950
67,2002,190500.0,3,1,0,36,4500
68,2004,213500.0,7,2,2,18,4299
69,2012,148500.0,6,1,0,40,5299
70,2001,234500.0,6,2,2,27,3999
71,2011,136341.0,5,0,1,27,9950
72,2017,72849.0,0,0,1,24,29900
73,2011,136341.0,5,0,1,27,9950
74,2011,136341.0,5,0,1,27,9950
75,2010,187000.0,0,2,2,24,8500
76,2012,182705.0,0,1,0,21,5950
77,2015,88350.0,5,0,2,27,28000
78,2010,98000.0,5,0,2,29,29000
79,2014,25865.0,1,2,1,44,17950
80,2011,53129.0,6,1,0,33,9995
81,2001,187430.0,0,0,1,21,4900
82,2001,187430.0,0,0,1,21,4900
83,2001,187430.0,0,0,1,21,4900
84,2008,81100.0,0,0,1,21,6000
85,2016,40717.0,4,2,1,80,29999
86,2017,66022.0,1,2,0,44,25999
87,2009,108679.0,6,1,0,36,5950
88,2016,40717.0,4,2,1,80,29999
89,2013,133208.0,0,0,0,21,11500
90,2016,23510.0,0,0,0,19,19900
91,2015,114271.0,0,0,2,27,29900
92,2017,73800.0,0,0,0,21,16900
93,2008,101550.0,0,0,1,21,11999
94,2017,53000.0,3,1,0,33,11000
95,2017,66022.0,1,2,0,44,25999
96,2011,214000.0,0,0,1,19,8900
97,2001,94000.0,1,2,2,44,18000
98,2013,86232.0,0,0,0,21,12900
99,2012,157614.0,8,1,1,34,8950
100,2009,181600.0,2,1,0,36,3500
101,2019,17508.0,0,0,1,19,29500
102,2015,81254.0,0,0,2,24,29995
103,2014,68525.0,0,0,1,34,18995
104,2017,46686.0,6,0,0,40,19499
105,2012,157614.0,8,1,1,34,8950
106,2015,81254.0,0,0,2,24,29995
107,2010,101500.0,5,0,2,27,17500
108,2005,155000.0,0,0,2,24,8000
109,2014,68525.0,0,0,1,34,18995
110,2012,157614.0,8,1,1,34,8950
111,2009,144000.0,0,0,2,24,9000
112,2018,25000.0,6,0,2,40,21999
113,2015,81254.0,0,0,2,24,29995
114,2017,53000.0,3,1,0,33,11000
115,2004,175000.0,5,0,2,29,14500
116,2012,157614.0,8,1,1,34,8950
117,2017,46686.0,6,0,0,40,19499
118,2014,57908.0,6,0,1,52,14999
119,2013,12849.0,7,2,2,13,26999
120,2009,168000.0,0,2,1,26,5250
121,2017,38000.0,6,1,0,40,14500
122,2006,137000.0,6,0,0,24,5495
123,2006,122000.0,5,0,2,28,14000
124,2018,92218.0,5,0,1,27,18700
125,2008,81000.0,6,1,2,10,3500
126,2007,213000.0,8,1,1,38,4500
127,2005,241000.0,0,0,1,21,3900
128,2002,78150.0,5,0,2,27,15793
129,2014,53000.0,0,1,1,34,18995
130,2003,152665.0,0,0,1,26,2695
131,2015,155285.0,5,0,2,29,23500
132,2002,111944.0,5,0,2,29,28997
133,2009,145000.0,0,0,1,21,6000
134,2014,80000.0,6,1,0,40,16495
135,2015,61000.0,7,1,0,54,18995
136,2018,129000.0,0,0,0,21,6000
137,2003,101000.0,6,1,1,52,3600
138,2004,111000.0,6,1,1,52,2995
139,2003,173265.0,0,0,2,26,4995
140,2014,74500.0,5,0,2,27,26500
141,2004,165000.0,5,2,2,29,23500
142,2008,23245.0,2,2,2,44,19995
143,2001,227000.0,0,2,2,23,13900
144,2001,248000.0,5,0,2,28,14500
145,2016,8000.0,4,1,1,49,15995
146,2015,102598.0,7,2,1,54,21995
147,2009,190321.0,6,1,1,52,3900
148,2016,89555.0,0,1,0,21,11888
149,2004,88000.0,0,2,1,26,6995
150,2010,90000.0,6,1,1,26,9499
151,2007,140000.0,0,1,1,19,6999
152,2012,153000.0,3,1,0,36,6999
153,2011,121000.0,6,1,0,40,7999
154,2019,23000.0,6,1,0,40,11500
155,2011,189834.0,7,1,0,57,7995
156,2015,90547.0,7,2,1,54,23995
157,2014,49000.0,5,2,2,27,24950
158,2011,114000.0,6,2,0,40,6950
159,2004,5100.0,2,2,2,44,24900
160,2007,197000.0,5,0,2,27,3900
161,2009,123041.0,6,1,1,52,4750
162,2013,151000.0,6,1,0,36,5400
163,2014,116321.0,5,0,1,27,18800
164,2015,110321.0,0,1,0,5,3900
165,2013,126321.0,5,0,1,27,17900
166,2004,196896.0,7,1,1,27,4400
167,2004,132818.0,5,1,2,30,12100
168,2018,41745.0,0,1,0,26,26500
169,2008,150000.0,5,0,2,27,14750
170,2013,164000.0,5,0,1,27,16900
171,2014,116000.0,5,0,1,27,17900
172,2013,143000.0,5,0,1,27,15900
173,2002,242000.0,0,2,2,24,2200
174,2012,248000.0,5,2,2,27,7500
175,2013,151000.0,6,2,0,36,5500
176,2013,146000.0,5,2,1,27,12500
177,2002,198000.0,5,2,2,28,7600
178,2005,175000.0,6,2,1,52,2000
179,2019,24356.0,6,1,0,40,21500
180,2017,33000.0,0,1,0,21,12900
181,2012,217012.0,5,2,1,27,6995
182,2008,110310.0,5,2,2,27,10995
183,2014,296000.0,6,2,2,40,4400
184,2012,173412.0,7,2,2,18,10995
185,2007,175970.0,5,0,2,27,8975
186,2004,153976.0,5,2,2,28,9995
187,2011,110000.0,6,1,1,52,5500
188,2019,30703.0,7,2,1,54,26995
189,2015,80384.0,7,2,1,54,16995
190,2016,81037.0,7,2,1,54,17995
191,2004,83421.0,7,2,2,18,12995
192,2002,159400.0,1,2,2,53,10500
193,2013,143000.0,5,0,1,27,15900
194,2014,116000.0,5,0,1,27,17900
195,2013,164000.0,5,0,1,27,16900
196,2013,76429.0,3,1,0,5,10500
197,2011,114000.0,6,2,0,40,6950
198,2014,49000.0,5,2,2,27,24950
199,2014,116321.0,5,0,1,27,18800
200,2015,110321.0,0,1,0,5,3900
201,2006,134000.0,8,2,2,13,7500
202,2003,166000.0,0,2,1,26,5500
203,2007,92000.0,6,1,1,52,3500
204,2002,108000.0,2,2,2,44,5000
205,2006,249582.0,7,2,2,11,4196
206,2008,151300.0,0,0,1,26,6900
